DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2006,58170,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2007,59103,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2008,59265,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2009,58583,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2010,58672,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2011,59965,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2012,59567,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2013,58596,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2014,59259,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2015,60863,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2016,62020,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2017,64108,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2018,64686,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2019,65982,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2020,66304,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2021,67241,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2022,66457,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2023,66909,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2024,65471,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Females,Belgium,2025,65568,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2005,61257,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2006,60793,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2007,61427,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2008,61740,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2009,61246,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2010,61011,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2011,62844,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2012,61913,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2013,61299,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2014,61897,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2015,63918,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2016,65281,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2017,66705,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2018,67576,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2019,69683,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2020,69535,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2021,70279,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2022,69516,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2023,69644,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,10 years,Males,Belgium,2024,68819,,
